WEEK,MONTH,DATE,WDAY,DAYTYPE,SHIFT,ROUTE,CREEL
25,Aug,2019-08-16,Fri,WEEKDAY,pm,Ash-Wash,YES
25,Aug,2019-08-17,Sat,WEEKEND,pm,Ash-Wash,YES
25,Aug,2019-08-18,Sun,WEEKEND,am,Ash-Wash,YES
26,Aug,2019-08-19,Mon,WEEKDAY,am,Ash-Wash,YES
26,Aug,2019-08-20,Tue,WEEKDAY,am,Ash-Wash,YES
26,Aug,2019-08-21,Wed,WEEKDAY,,,NO
26,Aug,2019-08-22,Thu,WEEKDAY,,,NO
26,Aug,2019-08-23,Fri,WEEKDAY,pm,Ash-Wash,YES
26,Aug,2019-08-24,Sat,WEEKEND,pm,Ash-Wash,YES
26,Aug,2019-08-25,Sun,WEEKEND,am,Ash-Wash,YES
27,Aug,2019-08-26,Mon,WEEKDAY,,,NO
27,Aug,2019-08-27,Tue,WEEKDAY,,,NO
27,Aug,2019-08-28,Wed,WEEKDAY,pm,Ash-Wash,YES
27,Aug,2019-08-29,Thu,WEEKDAY,am,Ash-Wash,YES
27,Aug,2019-08-30,Fri,WEEKDAY,pm,Ash-Wash,YES
27,Aug,2019-08-31,Sat,WEEKEND,pm,Ash-Wash,YES
27,Sep,2019-09-01,Sun,WEEKEND,pm,Ash-Wash,YES
28,Sep,2019-09-02,Mon,HOLIDAY,am,Ash-Wash,YES
28,Sep,2019-09-03,Tue,WEEKDAY,,,NO
28,Sep,2019-09-04,Wed,WEEKDAY,,,NO
28,Sep,2019-09-05,Thu,WEEKDAY,am,Ash-Wash,YES
28,Sep,2019-09-06,Fri,WEEKDAY,pm,Ash-Wash,YES
28,Sep,2019-09-07,Sat,WEEKEND,pm,Ash-Wash,YES
28,Sep,2019-09-08,Sun,WEEKEND,am,Ash-Wash,YES
29,Sep,2019-09-09,Mon,WEEKDAY,am,Ash-Wash,YES
29,Sep,2019-09-10,Tue,WEEKDAY,pm,Ash-Wash,YES
29,Sep,2019-09-11,Wed,WEEKDAY,,,NO
29,Sep,2019-09-12,Thu,WEEKDAY,,,NO
29,Sep,2019-09-13,Fri,WEEKDAY,pm,Ash-Wash,YES
29,Sep,2019-09-14,Sat,WEEKEND,am,Ash-Wash,YES
29,Sep,2019-09-15,Sun,WEEKEND,am,Ash-Wash,YES
30,Sep,2019-09-16,Mon,WEEKDAY,,,NO
30,Sep,2019-09-17,Tue,WEEKDAY,,,NO
30,Sep,2019-09-18,Wed,WEEKDAY,pm,Ash-Wash,YES
30,Sep,2019-09-19,Thu,WEEKDAY,am,Ash-Wash,YES
30,Sep,2019-09-20,Fri,WEEKDAY,am,Ash-Wash,YES
30,Sep,2019-09-21,Sat,WEEKEND,am,Ash-Wash,YES
30,Sep,2019-09-22,Sun,WEEKEND,pm,Ash-Wash,YES
31,Sep,2019-09-23,Mon,WEEKDAY,am,Ash-Wash,YES
31,Sep,2019-09-24,Tue,WEEKDAY,pm,Ash-Wash,YES
31,Sep,2019-09-25,Wed,WEEKDAY,,,NO
31,Sep,2019-09-26,Thu,WEEKDAY,,,NO
31,Sep,2019-09-27,Fri,WEEKDAY,am,Ash-Wash,YES
31,Sep,2019-09-28,Sat,WEEKEND,pm,Ash-Wash,YES
31,Sep,2019-09-29,Sun,WEEKEND,pm,Ash-Wash,YES
32,Sep,2019-09-30,Mon,WEEKDAY,pm,Ash-Wash,YES
