YEAR,ROUTE,WATERS,MUNIT,FISHERY,DAYTYPE,MONTH,PHOURS,SDPHOURS,PARTY,INDHRS,SDINDHRS,MTRIP,TRIPS,SDTRIPS,NINTS,HOURS,USSHOURS,VPHOURS,VINDHRS,VTRIPS
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekend,May,573.38526622903,231.498530624124,1.70451237263464,977.34228057379,394.59210969556,2.29,250.386579139314,101.091061407915,10,22.9,116.04,53591.5696811287,155702.933033993,10219.4026965788
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekend,All,573.38526622903,231.498530624124,1.70451237263464,977.34228057379,394.59210969556,2.29,250.386579139314,101.091061407915,10,22.9,116.04,53591.5696811287,155702.933033993,10219.4026965788
2014,Ashland,Wisconsin,WI-2,Pleasure,All,May,650.989222457986,232.715240433977,1.73973723982012,1132.5501930317,397.444570764846,2.4705216370485,263.502740755476,101.170830887372,11,28.8166666666667,151.046944444444,54156.3831302437,157962.186830453,10235.5370224412
2014,Ashland,Wisconsin,WI-2,Pleasure,All,All,650.989222457986,232.715240433977,1.73973723982012,1132.5501930317,397.444570764846,2.4705216370485,263.502740755476,101.170830887372,11,28.8166666666667,151.046944444444,54156.3831302437,157962.186830453,10235.5370224412
2014,Ashland,Wisconsin,WI-2,All,Weekday,May,1558.2,445.113870228951,2.2003367003367,3428.56464646465,994.588148256781,7.425,209.858585858586,56.5207618558277,16,118.8,972.392777777778,198126.357470196,989205.584652853,3194.59652076319
2014,Ashland,Wisconsin,WI-2,All,Weekday,All,1558.2,445.113870228951,2.2003367003367,3428.56464646465,994.588148256781,7.425,209.858585858586,56.5207618558277,16,118.8,972.392777777778,198126.357470196,989205.584652853,3194.59652076319
2014,Ashland,Wisconsin,WI-2,All,Weekend,May,3432.8,869.300285652434,1.76440554339898,6056.85134938001,1540.0611533999,3.51538461538462,976.507658643326,235.999459101826,39,137.1,630.778888888889,755682.986635403,2371788.35621142,55695.7446963542
2014,Ashland,Wisconsin,WI-2,All,Weekend,All,3432.8,869.300285652434,1.76440554339898,6056.85134938001,1540.0611533999,3.51538461538462,976.507658643326,235.999459101826,39,137.1,630.778888888889,755682.986635403,2371788.35621142,55695.7446963542
2014,Ashland,Wisconsin,WI-2,All,All,May,4991,976.631631735118,1.90050410656074,9485.41599584466,1833.30137753297,4.20696393135784,1186.36624450191,242.673322013602,55,255.9,1603.17166666667,953809.344105598,3360993.94086427,58890.3412171174
2014,Ashland,Wisconsin,WI-2,All,All,All,4991,976.631631735118,1.90050410656074,9485.41599584466,1833.30137753297,4.20696393135784,1186.36624450191,242.673322013602,55,255.9,1603.17166666667,953809.344105598,3360993.94086427,58890.3412171174
